Substrates (reactants and products) of a reaction from Reactions of pathway from Magnesium pathway	Synonyms	Object ID
ADP	adenosine pyrophosphate // adenosine 5'-pyrophosphate // adenosine-5'-diphosphate // adenosine-diphosphate // adenosine-5-diphosphate	ADP
ATP	adenylpyrophosphate // adenosine-triphosphate // adenosine-5'-triphosphate	ATP
bifunctional sensor histidine kinase PhoQ	PhoQ-N-phospho-L-histidine	CPLX0-8168
DNA-binding transcriptional dual regulator PhoP	PhoP // PhoP response regulator	PHOP-MONOMER
H<SUP>+</SUP>	hydrogen ion // proton // H	PROTON
H<sub>2</sub>O	H2O // hydrogen oxide // water	WATER
Mg<SUP>2+</SUP>	magnesium // magnesium(II) // Mg++ // magnesium ion // MgII	MG+2
PhoQ-<i>N</i>-phospho-L-histidine	PhoQ // PhoQ-Phis277 // sensory histidine kinase PhoQ - phosphorylated	PHOSPHO-PHOQ
phosphate	inorganic phosphate // phosphate-inorganic // phosphate // orthophosphate // PO43- // HPO42- // HPO4-2 // hydrogenphosphate	Pi
Phosphorylated DNA-binding transcriptional dual regulator PhoP	PhoP-Pasp51 // PhoP response regulator - phosphorylated	PHOSPHO-PHOP
